,Match_id,League_id,Season,Stage,Date,H_team,A_team,Result,H_Speed,H_Pass,H_Shoot,H_Pressure,H_chPass,H_chCross,H_dAggr,H_dWidth,A_Speed,A_Pass,A_Shoot,A_Pressure,A_chPass,A_chCross,A_dAggr,A_dWidth,H_age,A_age,H_TMV,A_TMV,FTHG,FTAG,HS,AS,HST,AST,H_Form03,A_Form03,H_Form05,A_Form05,H_MeanShots03,A_MeanShots03,H_MeanShots05,A_MeanShots05,H_MeanShotsOnTarget03,A_MeanShotsOnTarget03,H_MeanShotsOnTarget05,A_MeanShotsOnTarget05,H_MeanFullTimeGoals03,A_MeanFullTimeGoals03,H_MeanFullTimeGoals05,A_MeanFullTimeGoals05,H_WeightedMeanShots03,A_WeightedMeanShots03,H_WeightedMeanShots05,A_WeightedMeanShots05,H_WeightedMeanShotsOnTarget03,A_WeightedMeanShotsOnTarget03,H_WeightedMeanShotsOnTarget05,A_WeightedMeanShotsOnTarget05,H_WeightedMeanFullTimeGoals03,A_WeightedMeanFullTimeGoals03,H_WeightedMeanFullTimeGoals05,A_WeightedMeanFullTimeGoals05,H_xgoals,A_xgoals
20,24020,21518,2014/2015,3,2014-09-12,UD Almeria,Cordoba CF,1,46,65,40,37,57,54,53,45,40,53,48,36,40,66,41,52,24.1,24.8,25.0,44.0,1,1,12,11,2,4,6,1,6,2,18.0,15.0,12.0,12.75,7.0,6.0,4.25,4.25,3.0,1.0,1.75,1.0,16.8421052632,13.8947368421,11.7352941176,11.7647058824,6.57894736842,5.47368421053,4.26470588235,4.02941176471,2.89473684211,0.947368421053,1.82352941176,0.941176470588,1.04,0.76
21,24021,21518,2014/2015,3,2014-09-13,RC Celta de Vigo,Real Sociedad,1,53,62,52,42,59,68,52,65,35,36,59,48,60,52,53,65,23.3,24.6,39.0,107.0,2,2,13,20,6,5,0,6,4,9,17.5,19.5,14.5,15.25,4.5,4.0,3.75,4.5,1.5,1.5,1.25,2.0,17.1052631579,18.0526315789,14.0588235294,14.2647058824,4.31578947368,3.89473684211,3.52941176471,4.05882352941,1.31578947368,1.42105263158,1.11764705882,1.73529411765,3.31,1.31
22,24022,21518,2014/2015,3,2014-09-13,Real Madrid CF,Atletico Madrid,2,50,41,69,39,68,54,49,65,47,51,54,52,67,67,37,55,23.3,24.7,647.0,289.0,1,2,21,9,4,2,3,7,6,11,29.5,27.5,25.0,17.5,11.5,9.5,9.0,6.75,2.5,4.0,1.75,3.25,28.0526315789,26.5263157895,23.5882352941,17.7352941176,10.7368421053,9.10526315789,8.5,6.61764705882,2.42105263158,3.78947368421,1.73529411765,3.02941176471,1.59,1.11
23,24026,21518,2014/2015,3,2014-09-13,FC Barcelona,Athletic Bilbao,0,35,32,35,61,37,31,63,65,46,38,37,37,52,68,60,65,24.4,25.2,598.0,110.0,2,0,15,3,8,2,6,4,10,7,34.0,23.0,26.0,20.0,13.0,9.5,9.75,8.25,4.0,3.0,3.0,2.25,32.4210526316,21.3157894737,24.8823529412,18.4411764706,12.1578947368,8.78947368421,9.20588235294,7.55882352941,3.68421052632,2.78947368421,2.79411764706,2.11764705882,2.18,0.10
24,24027,21518,2014/2015,3,2014-09-13,Malaga CF,Levante UD,1,45,36,50,64,69,69,58,42,57,63,52,47,55,61,52,56,25.6,26.8,62.0,47.0,0,0,18,10,7,0,1,0,5,3,20.0,15.0,17.0,14.25,7.5,4.0,6.5,5.75,2.5,1.0,2.75,1.5,18.6315789474,13.9473684211,15.7647058824,13.0882352941,7.0,3.89473684211,6.0,5.11764705882,2.26315789474,1.0,2.38235294118,1.35294117647,0.82,0.36
25,24018,21518,2014/2015,3,2014-09-14,Valencia CF,RCD Espanyol,0,30,35,55,51,38,56,38,59,50,44,40,37,52,60,40,45,23.1,24.6,137.0,55.0,3,1,11,8,6,3,6,3,10,3,22.5,15.0,18.0,14.25,9.0,5.5,6.0,4.0,4.0,2.0,2.75,1.0,21.1052631579,14.2105263158,17.0,12.9705882353,8.42105263158,5.05263157895,5.82352941176,3.79411764706,3.84210526316,1.78947368421,2.67647058824,1.0,1.86,1.09
26,24019,21518,2014/2015,3,2014-09-14,Sevilla FC,Getafe CF,0,65,65,38,38,53,57,49,55,35,40,52,49,58,42,45,47,24.7,25.1,122.0,48.0,2,0,12,7,4,1,7,3,8,7,15.5,19.5,14.75,14.75,5.0,7.0,3.75,5.25,2.0,1.0,1.0,1.5,14.9473684211,18.5789473684,13.8235294118,14.1176470588,4.78947368421,6.94736842105,3.64705882353,5.23529411765,1.84210526316,1.05263157895,1.02941176471,1.32352941176,2.04,0.30
27,24024,21518,2014/2015,3,2014-09-14,Rayo Vallecano,Elche CF,2,45,44,47,63,44,44,51,59,55,69,57,49,53,54,51,58,25.7,24.7,52.0,31.0,2,3,14,12,4,5,3,1,7,2,18.0,13.5,14.5,10.5,5.5,4.0,5.5,3.25,1.0,1.0,1.5,0.75,17.2105263158,12.6315789474,13.8823529412,9.85294117647,5.36842105263,3.52631578947,5.20588235294,2.85294117647,0.947368421053,0.842105263158,1.35294117647,0.647058823529,1.42,0.57
28,24025,21518,2014/2015,3,2014-09-14,Granada CF,Villarreal CF,1,52,37,52,49,67,68,45,64,35,35,58,51,43,57,51,56,24.4,23.1,60.0,88.0,0,0,9,14,3,3,3,5,5,8,15.5,17.5,15.0,14.75,5.0,7.0,4.75,5.75,1.0,2.5,1.0,1.75,14.6315789474,16.3684210526,13.7647058824,13.7647058824,4.84210526316,6.47368421053,4.38235294118,5.32352941176,0.842105263158,2.31578947368,0.823529411765,1.64705882353,0.42,0.63
29,24023,21518,2014/2015,3,2014-09-15,SD Eibar,RC Deportivo de La Coruna,2,62,52,64,37,60,55,56,49,56,46,68,45,38,52,50,59,27.3,25.5,21.0,48.0,0,1,14,4,2,1,6,6,9,12,13.5,19.5,11.25,17.5,6.5,6.0,4.25,6.25,2.5,2.0,1.5,2.0,13.0526315789,18.3157894737,10.7647058824,16.2352941176,6.26315789474,5.52631578947,4.26470588235,5.64705882353,2.36842105263,1.94736842105,1.5,1.88235294118,0.41,0.67
30,24124,21518,2014/2015,4,2014-09-19,Elche CF,SD Eibar,2,55,69,57,49,53,54,51,58,62,52,64,37,60,55,56,49,24.7,27.3,31.0,21.0,0,2,15,8,6,4,1,6,2,9,13.5,13.5,10.5,11.25,4.0,6.5,3.25,4.25,1.0,2.5,0.75,1.5,12.6315789474,13.0526315789,9.85294117647,10.7647058824,3.52631578947,6.26315789474,2.85294117647,4.26470588235,0.842105263158,2.36842105263,0.647058823529,1.5,1.03,0.90
31,24118,21518,2014/2015,4,2014-09-20,RCD Espanyol,Malaga CF,1,50,44,40,37,52,60,40,45,45,36,50,64,69,69,58,42,24.6,25.6,55.0,62.0,2,2,13,9,8,3,3,1,3,5,15.0,20.0,14.25,17.0,5.5,7.5,4.0,6.5,2.0,2.5,1.0,2.75,14.2105263158,18.6315789474,12.9705882353,15.7647058824,5.05263157895,7.0,3.79411764706,6.0,1.78947368421,2.26315789474,1.0,2.38235294118,2.87,0.45
32,24122,21518,2014/2015,4,2014-09-20,Atletico Madrid,RC Celta de Vigo,1,47,51,54,52,67,67,37,55,53,62,52,42,59,68,52,65,24.7,23.3,289.0,39.0,2,2,18,5,8,5,7,0,11,4,27.5,17.5,17.5,14.5,9.5,4.5,6.75,3.75,4.0,1.5,3.25,1.25,26.5263157895,17.1052631579,17.7352941176,14.0588235294,9.10526315789,4.31578947368,6.61764705882,3.52941176471,3.78947368421,1.31578947368,3.02941176471,1.11764705882,2.43,0.93
33,24123,21518,2014/2015,4,2014-09-20,RC Deportivo de La Coruna,Real Madrid CF,2,56,46,68,45,38,52,50,59,50,41,69,39,68,54,49,65,25.5,23.3,48.0,647.0,2,8,14,19,5,13,6,3,12,6,19.5,29.5,17.5,25.0,6.0,11.5,6.25,9.0,2.0,2.5,2.0,1.75,18.3157894737,28.0526315789,16.2352941176,23.5882352941,5.52631578947,10.7368421053,5.64705882353,8.5,1.94736842105,2.42105263158,1.88235294118,1.73529411765,1.75,2.08
34,24126,21518,2014/2015,4,2014-09-20,Athletic Bilbao,Granada CF,2,46,38,37,37,52,68,60,65,52,37,52,49,67,68,45,64,25.2,24.4,110.0,60.0,0,1,13,3,5,2,4,3,7,5,23.0,15.5,20.0,15.0,9.5,5.0,8.25,4.75,3.0,1.0,2.25,1.0,21.3157894737,14.6315789474,18.4411764706,13.7647058824,8.78947368421,4.84210526316,7.55882352941,4.38235294118,2.78947368421,0.842105263158,2.11764705882,0.823529411765,0.45,0.39
35,24120,21518,2014/2015,4,2014-09-21,Cordoba CF,Sevilla FC,2,40,53,48,36,40,66,41,52,65,65,38,38,53,57,49,55,24.8,24.7,44.0,122.0,1,3,9,15,3,8,1,7,2,8,15.0,15.5,12.75,14.75,6.0,5.0,4.25,3.75,1.0,2.0,1.0,1.0,13.8947368421,14.9473684211,11.7647058824,13.8235294118,5.47368421053,4.78947368421,4.02941176471,3.64705882353,0.947368421053,1.84210526316,0.941176470588,1.02941176471,0.90,2.67
36,24121,21518,2014/2015,4,2014-09-21,Real Sociedad,UD Almeria,2,35,36,59,48,60,52,53,65,46,65,40,37,57,54,53,45,24.6,24.1,107.0,25.0,1,2,22,13,6,5,6,6,9,6,19.5,18.0,15.25,12.0,4.0,7.0,4.5,4.25,1.5,3.0,2.0,1.75,18.0526315789,16.8421052632,14.2647058824,11.7352941176,3.89473684211,6.57894736842,4.05882352941,4.26470588235,1.42105263158,2.89473684211,1.73529411765,1.82352941176,1.71,0.60
37,24125,21518,2014/2015,4,2014-09-21,Villarreal CF,Rayo Vallecano,0,35,35,58,51,43,57,51,56,45,44,47,63,44,44,51,59,23.1,25.7,88.0,52.0,4,2,19,10,9,3,5,3,8,7,17.5,18.0,14.75,14.5,7.0,5.5,5.75,5.5,2.5,1.0,1.75,1.5,16.3684210526,17.2105263158,13.7647058824,13.8823529412,6.47368421053,5.36842105263,5.32352941176,5.20588235294,2.31578947368,0.947368421053,1.64705882353,1.35294117647,4.44,1.48
38,24127,21518,2014/2015,4,2014-09-21,Levante UD,FC Barcelona,2,57,63,52,47,55,61,52,56,35,32,35,61,37,31,63,65,26.8,24.4,47.0,598.0,0,5,9,17,2,8,0,6,3,10,15.0,34.0,14.25,26.0,4.0,13.0,5.75,9.75,1.0,4.0,1.5,3.0,13.9473684211,32.4210526316,13.0882352941,24.8823529412,3.89473684211,12.1578947368,5.11764705882,9.20588235294,1.0,3.68421052632,1.35294117647,2.79411764706,0.44,3.82
39,24119,21518,2014/2015,4,2014-09-22,Getafe CF,Valencia CF,2,35,40,52,49,58,42,45,47,30,35,55,51,38,56,38,59,25.1,23.1,48.0,137.0,0,3,12,7,5,3,3,6,7,10,19.5,22.5,14.75,18.0,7.0,9.0,5.25,6.0,1.0,4.0,1.5,2.75,18.5789473684,21.1052631579,14.1176470588,17.0,6.94736842105,8.42105263158,5.23529411765,5.82352941176,1.05263157895,3.84210526316,1.32352941176,2.67647058824,0.23,1.54
40,24132,21518,2014/2015,5,2014-09-23,RC Celta de Vigo,RC Deportivo de La Coruna,0,53,62,52,42,59,68,52,65,56,46,68,45,38,52,50,59,23.3,25.5,39.0,48.0,2,1,11,5,4,3,0,6,4,12,17.5,19.5,14.5,17.5,4.5,6.0,3.75,6.25,1.5,2.0,1.25,2.0,17.1052631579,18.3157894737,14.0588235294,16.2352941176,4.31578947368,5.52631578947,3.52941176471,5.64705882353,1.31578947368,1.94736842105,1.11764705882,1.88235294118,1.19,1.04
